date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:56:02	49687/49687	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jul%202024%2010:06:38%20GMT	https://acesso-pac.spa/entrega/home.html	C:/Users/User/Desktop/site%20correios/site%20correios/acesso-pac.spa/entrega/home.html	(from )
17:56:02	249/249	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Aug%202024%2020:56:02%20GMT	https://acesso-pac.spa/robots.txt		(from )
17:56:03	1967/1967	---MCZ	200	added ('OK')	text/css	etag:W/%227af-61dfdd070512d%22	https://acesso-pac.spa/entrega/js/7333877b3b305062.css	C:/Users/User/Desktop/site%20correios/site%20correios/acesso-pac.spa/entrega/js/7333877b3b305062.css	(from https://acesso-pac.spa/entrega/home.html)
17:56:03	1967/1967	---MCZ	200	added ('OK')	text/javascript	etag:W/%227af-61dfdd0b42ce2%22	https://acesso-pac.spa/entrega/js/webpack-d0ceac4fb78a3613.js	C:/Users/User/Desktop/site%20correios/site%20correios/acesso-pac.spa/entrega/js/webpack-d0ceac4fb78a3613.js	(from https://acesso-pac.spa/entrega/home.html)
17:56:03	1967/1967	---MCZ	200	added ('OK')	text/javascript	etag:W/%227af-61dfdd096a60f%22	https://acesso-pac.spa/entrega/js/fd9d1056-2821b0f0cabcd8bd.js	C:/Users/User/Desktop/site%20correios/site%20correios/acesso-pac.spa/entrega/js/fd9d1056-2821b0f0cabcd8bd.js	(from https://acesso-pac.spa/entrega/home.html)
17:56:03	1967/1967	---MCZ	200	added ('OK')	text/javascript	etag:W/%227af-61dfdd097a009%22	https://acesso-pac.spa/entrega/js/23-55513588e2bf9c3d.js	C:/Users/User/Desktop/site%20correios/site%20correios/acesso-pac.spa/entrega/js/23-55513588e2bf9c3d.js	(from https://acesso-pac.spa/entrega/home.html)
17:56:03	1967/1967	---MCZ	200	added ('OK')	text/javascript	etag:W/%227af-61dfdd0989b46%22	https://acesso-pac.spa/entrega/js/main-app-846a0768ec76bb39.js	C:/Users/User/Desktop/site%20correios/site%20correios/acesso-pac.spa/entrega/js/main-app-846a0768ec76bb39.js	(from https://acesso-pac.spa/entrega/home.html)
17:56:03	1967/1967	---MCZ	200	added ('OK')	text/javascript	etag:W/%227af-61dfdd0999a60%22	https://acesso-pac.spa/entrega/js/layout-88dba03b2b2b1a23.js	C:/Users/User/Desktop/site%20correios/site%20correios/acesso-pac.spa/entrega/js/layout-88dba03b2b2b1a23.js	(from https://acesso-pac.spa/entrega/home.html)
17:56:04	1967/1967	---MCZ	200	added ('OK')	text/javascript	etag:W/%227af-61dfdd09a99fe%22	https://acesso-pac.spa/entrega/js/173-da0bb52ea0fc8a67.js	C:/Users/User/Desktop/site%20correios/site%20correios/acesso-pac.spa/entrega/js/173-da0bb52ea0fc8a67.js	(from https://acesso-pac.spa/entrega/home.html)
17:56:04	1967/1967	---MCZ	200	added ('OK')	text/javascript	etag:W/%227af-61dfdd09b94c6%22	https://acesso-pac.spa/entrega/js/page-f0327d1d738300a6.js	C:/Users/User/Desktop/site%20correios/site%20correios/acesso-pac.spa/entrega/js/page-f0327d1d738300a6.js	(from https://acesso-pac.spa/entrega/home.html)
